Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross
Never Cry Wolf,07/10/1983,Drama,Unknown,27668764,70669955
Running Brave,04/11/1983,Drama,Unknown,1204595,3223725
Splash,09/03/1984,Comedy,PG,62599495,157057661
Country,29/09/1984,Drama,Unknown,8400000,21075000
Baby: Secret of the Lost Legend,22/03/1985,Adventure,Unknown,14276095,33900697
Return to Oz,21/06/1985,Adventure,Unknown,10618813,25215934
The Black Cauldron,24/07/1985,Adventure,Unknown,21288692,50553142
My Science Project,09/08/1985,Comedy,Unknown,4100000,9736051
The Journey of Natty Gann,27/09/1985,Drama,Unknown,9468512,22302956
One Magic Christmas,22/11/1985,Drama,Unknown,13229514,31415432
Down and Out in Beverly Hills,31/01/1986,Comedy,R,62134225,141183693
Off Beat,11/04/1986,Comedy,Unknown,4842778,11003932
Ruthless People,27/06/1986,Comedy,R,71624879,162748712
The Great Mouse Detective,02/07/1986,Adventure,Unknown,23605534,53637367
Flight of the Navigator,30/07/1986,Adventure,Unknown,18564613,42183197
Tough Guys,03/10/1986,Comedy,Unknown,21458229,48758184
The Color of Money,17/10/1986,Drama,R,52293000,117957323
Outrageous Fortune,30/01/1987,Comedy,R,52864741,113976921
Tin Men,06/03/1987,Comedy,Unknown,25411386,54787202
Ernest Goes to Camp,22/05/1987,Comedy,Unknown,23509382,50686462
Benji the Hunted,05/06/1987,Adventure,Unknown,15212539,32798382
Adventures in Babysitting,03/07/1987,Comedy,Unknown,33790923,72853569
Stakeout,05/08/1987,Comedy,R,65673233,141592160
Can't Buy Me Love,14/08/1987,Romantic Comedy,Unknown,31623833,68181300
Hello Again,06/11/1987,Comedy,Unknown,20419446,44024529
3 Men and a Baby,25/11/1987,Comedy,PG,167780960,353334607
Good Morning Vietnam,23/12/1987,Comedy,R,123922370,254414837
Shoot to Kill,12/02/1988,Action,Unknown,29300000,60097074
D.O.A.,18/03/1988,Thriller/Suspense,Unknown,12706478,26062188
Return to Snowy River,15/04/1988,Adventure,PG,13687027,28073384
Big Business,10/06/1988,Comedy,PG,40150487,82352451
Who Framed Roger Rabbit?,22/06/1988,Comedy,PG,154112492,316250084
Cocktail,29/07/1988,Drama,R,78222753,160442289
The Rescue,05/08/1988,Action,Unknown,5855392,12009960
Heartbreak Hotel,30/09/1988,Comedy,Unknown,5509417,11300331
The Good Mother,04/11/1988,Drama,Unknown,4764606,9772655
Ernest Saves Christmas,11/11/1988,Comedy,PG,28202109,57845202
Oliver & Company,18/11/1988,Adventure,G,49576671,102254492
Beaches,21/12/1988,Drama,PG-13,57041866,120381757
Three Fugitives,27/01/1989,Comedy,PG-13,40590000,85757817
New York Stories,01/03/1989,Drama,PG,10763469,22740861
Disorganized Crime,14/04/1989,Comedy,Unknown,7210149,15233465
Dead Poets Society,02/06/1989,Drama,PG,95860116,202531517
"Honey, I Shrunk the Kids",23/06/1989,Adventure,PG,130724172,276191669
Turner & Hooch,28/07/1989,Comedy,PG,71079915,150176361
Cheetah,18/08/1989,Adventure,Unknown,7882250,16653473
An Innocent Man,06/10/1989,Drama,R,19397847,40983414
Gross Anatomy,20/10/1989,Drama,PG-13,11346186,23972012
The Little Mermaid,15/11/1989,Adventure,G,111543479,223726012
Blaze,13/12/1989,Drama,R,19049727,39884640
Stella,02/02/1990,Drama,PG-13,20062347,40077147
Where the Heart Is,23/02/1990,Comedy,Unknown,1106475,2210321
Pretty Woman,23/03/1990,Romantic Comedy,R,178406268,356389765
Ernest Goes to Jail,06/04/1990,Comedy,PG,25029569,49999822
Spaced Invaders,27/04/1990,Comedy,PG,15000000,29964452
Fire Birds,24/05/1990,Action,PG-13,14760451,29485923
Dick Tracy,15/06/1990,Action,PG,103738726,207231621
Betsy's Wedding,22/06/1990,Comedy,R,19740070,39433357
Arachnophobia,18/07/1990,Thriller/Suspense,PG-13,53208180,106290270
DuckTales: The Movie - Treasure of the lost lamp,03/08/1990,Adventure,G,18075331,36107823
Taking Care of Business,17/08/1990,Comedy,R,20005435,39963460
Mr. Destiny,12/10/1990,Comedy,PG-13,15379253,30722056
The Rescuers Down Under,16/11/1990,Adventure,G,27931461,55796728
3 Men and a Little Lady,21/11/1990,Comedy,PG,71609321,143108869
Green Card,25/12/1990,Romantic Comedy,PG-13,29804169,59679131
White Fang,18/01/1991,Adventure,PG,34729091,69540672
Scenes from a Mall,22/02/1991,Comedy,Unknown,9563393,19149495
Haakon Haakonsen,01/03/1991,Adventure,PG,15024232,30084149
The Marrying Man,05/04/1991,Romantic Comedy,R,12454768,24939118
Oscar,26/04/1991,Comedy,PG,23562716,47181395
One Good Cop,03/05/1991,Action,R,11276846,22580472
What About Bob?,17/05/1991,Comedy,PG,63710000,127571325
Wild Hearts Can't Be Broken,24/05/1991,Drama,Unknown,7300000,14617333
The Rocketeer,21/06/1991,Action,PG,46573027,93256673
The Doctor,24/07/1991,Drama,PG-13,37497480,75084021
Paradise,18/09/1991,Drama,PG-13,18634643,37313540
Deceived,27/09/1991,Thriller/Suspense,PG-13,28738096,57544453
Ernest Scared Stupid,11/10/1991,Comedy,PG,14143280,28320147
Billy Bathgate,01/11/1991,Drama,R,15565363,31167691
Beauty and the Beast,13/11/1991,Musical,G,218951625,363017667
Father of the Bride,20/12/1991,Comedy,PG,89325780,179821881
The Hand That Rocks the Cradle,10/01/1992,Thriller/Suspense,R,88036683,178831137
Medicine Man,07/02/1992,Drama,PG-13,44948240,91304495
Blame it on the Bellboy,06/03/1992,Comedy,PG-13,2891055,5872667
Noises Off...,20/03/1992,Comedy,PG-13,2280148,4631720
Straight Talk,03/04/1992,Comedy,PG,21202099,43068356
Newsies,08/04/1992,Unknown,PG,2706352,5497481
Passed Away,24/04/1992,Unknown,PG-13,4030793,8187848
Encino Man,22/05/1992,Comedy,PG,40057130,81369058
Sister Act,29/05/1992,Comedy,PG,139605150,283583472
Honey I Blew Up the Kid,17/07/1992,Comedy,PG,58662452,119162518
A Stranger Among Us,17/07/1992,Drama,PG-13,12282994,24950752
3 Ninjas,07/08/1992,Action,PG,29028000,58965304
A Gun in Betty Lou's Handbag,21/08/1992,Unknown,PG-13,3591460,7295423
Captain Ron,18/09/1992,Comedy,PG-13,22518097,45741576
Sarafina!,18/09/1992,Drama,PG-13,7306242,14841352
Innocent Blood,25/09/1992,Horror,R,4877567,9907922
The Mighty Ducks,02/10/1992,Comedy,PG,50752337,103120810
1492: Conquest of Paradise,09/10/1992,Adventure,PG-13,7099531,14421454
Consenting Adults,16/10/1992,Drama,R,21591728,43859823
Aladdin,11/11/1992,Comedy,G,217350219,441969178
The Distinguished Gentleman,04/12/1992,Comedy,R,46434570,94349900
The Muppet Christmas Carol,11/12/1992,Comedy,G,27281507,55417615
Alive,15/01/1993,Adventure,R,36299670,73914543
Aspen Extreme,22/01/1993,Romantic Comedy,PG-13,7843388,15970955
Homeward Bound: The Incredible Journey,03/02/1993,Adventure,G,41833324,85182343
The Cemetery Club,03/02/1993,Comedy,PG-13,5583621,11369541
Swing Kids,05/03/1993,Musical,PG-13,5632086,11468231
A Far Off Place,12/03/1993,Adventure,PG,12890752,26248558
Born Yesterday,26/03/1993,Romantic Comedy,PG,17760754,36165012
The Adventures of Huck Finn,02/04/1993,Adventure,PG,24103594,49080505
Bound by Honor,16/04/1993,Unknown,R,4496583,9156084
Indian Summer,23/04/1993,Comedy,R,14717851,29968953
Super Mario Bros.,28/05/1993,Action,PG,20844907,42445058
Guilty as Sin,04/06/1993,Thriller/Suspense,R,22622537,46064723
Life With Mikey,04/06/1993,Comedy,PG,12349549,25146538
What's Love Got to Do With It,09/06/1993,Drama,R,39100956,79618610
Son in Law,02/07/1993,Comedy,PG-13,25989889,52921433
Hocus Pocus,16/07/1993,Comedy,PG,39360491,80147079
Another Stakeout,23/07/1993,Comedy,PG-13,20107504,40943541
My Boyfriend's Back,06/08/1993,Unknown,PG-13,3218882,6554384
Father Hood,27/08/1993,Unknown,PG-13,3268203,6654819
The Joy Luck Club,08/09/1993,Drama,R,32790064,66768171
Money for Nothing,10/09/1993,Comedy,R,1044824,2127496
The Program,24/09/1993,Action,R,23042200,46919256
Cool Runnings,01/10/1993,Comedy,PG,68856263,140392731
The Nightmare Before Christmas,13/10/1993,Musical,PG,50408318,100026637
The Three Musketeers,12/11/1993,Adventure,PG,53661805,109310377
Sister Act 2 Back in the Habit,10/12/1993,Comedy,PG,57319029,116965668
Tombstone,25/12/1993,Western,R,56505065,115781734
The Air Up There,07/01/1994,Comedy,PG,20782439,42940186
Cabin Boy,07/01/1994,Comedy,PG-13,3469493,7168577
Iron Will,14/01/1994,Drama,PG,20623071,42610902
Red Rock West,28/01/1994,Unknown,R,2502551,5170709
Blank Check,11/02/1994,Comedy,PG,30573770,63170804
Angie,04/03/1994,Comedy,R,9252349,19116981
The Ref,09/03/1994,Comedy,R,11325885,23401275
D2: The Mighty Ducks,25/03/1994,Comedy,PG,45604206,94226333
Holy Matrimony,08/04/1994,Comedy,Unknown,713234,1473665
White Fang 2: Myth of the White Wolf,15/04/1994,Adventure,PG,8752399,18083994
The Inkwell,22/04/1994,Comedy,R,8864699,18316030
When a Man Loves a Woman,29/04/1994,Drama,R,50021959,103354194
3 Ninjas Kick Back,06/05/1994,Action,PG,11744960,24267154
Renaissance Man,03/06/1994,Comedy,PG-13,24172899,49945474
The Lion King,15/06/1994,Adventure,G,422780140,761640898
I Love Trouble,29/06/1994,Romantic Comedy,PG,30806194,63651027
Angels in the Outfield,15/07/1994,Comedy,PG,50236831,103798152
In the Army Now,12/08/1994,Comedy,PG,28881266,59673787
Color of Night,19/08/1994,Thriller/Suspense,R,19750470,40804816
Camp Nowhere,26/08/1994,Comedy,PG,10442641,21576332
It's Pat,26/08/1994,Comedy,Unknown,60822,125666
A Simple Twist of Fate,02/09/1994,Drama,PG-13,3404935,7035189
Quiz Show,14/09/1994,Drama,PG-13,24787282,50840394
Terminal Velocity,23/09/1994,Action,PG-13,16478900,34048315
Ed Wood,30/09/1994,Comedy,R,5828466,12042634
The Puppet Masters,21/10/1994,Horror,R,8579626,17727017
Squanto: A Warrior's Tale,28/10/1994,Drama,PG,3319344,6858345
The Santa Clause,11/11/1994,Comedy,PG,144833357,298369717
A Low Down Dirty Shame,23/11/1994,Action,R,29317886,60321919
The Jungle Book,25/12/1994,Adventure,PG,44342956,88930321
Houseguest,06/01/1995,Comedy,PG,26325256,51016522
Bad Company,20/01/1995,Thriller/Suspense,R,3523909,6829092
Miami Rhapsody,27/01/1995,Romantic Comedy,PG-13,5086578,9857435
The Jerky Boys,03/02/1995,Comedy,R,7555256,14641561
Heavy Weights,17/02/1995,Comedy,PG,17671310,34245779
Man of the House,03/03/1995,Comedy,PG,40029009,77573459
Roommates,03/03/1995,Comedy,PG,12076989,23404369
Tall Tale,24/03/1995,Western,PG,8247627,15983331
A Pyromaniac's Love Story,28/03/1995,Romantic Comedy,PG,468240,907414
Jefferson in Paris,31/03/1995,Drama,PG-13,2461628,4770461
Funny Bones,31/03/1995,Comedy,R,529135,1025425
A Goofy Movie,07/04/1995,Comedy,G,35336439,68479579
While You Were Sleeping,21/04/1995,Romantic Comedy,PG,81057016,157082900
Crimson Tide,12/05/1995,Action,R,91387195,177102077
Mad Love,26/05/1995,Drama,PG-13,15446532,29934306
Pocahontas,10/06/1995,Adventure,G,141579773,274370957
Judge Dredd,30/06/1995,Action,R,34687912,67222776
Operation Dumbo Drop,28/07/1995,Adventure,PG,24670346,47809421
Dangerous Minds,11/08/1995,Drama,R,84919401,164552293
A Kid in King Arthur's Court,11/08/1995,Adventure,PG,13406717,25981285
The Tie That Binds,08/09/1995,Thriller/Suspense,R,5762795,11167895
Unstrung Heroes,15/09/1995,Drama,PG,7929000,15365850
The Big Green,29/09/1995,Comedy,PG,17736619,34372339
Dead Presidents,04/10/1995,Drama,R,24120194,46741467
The Scarlet Letter,13/10/1995,Drama,R,10359006,20075033
Feast of July,13/10/1995,Drama,R,293274,568342
Powder,27/10/1995,Drama,PG-13,30833914,59727216
Toy Story,22/11/1995,Adventure,G,191796233,370409631
Father of the Bride Part II,08/12/1995,Comedy,PG,76578911,147658438
Nixon,20/12/1995,Drama,R,13668249,26302005
Tom and Huck,22/12/1995,Adventure,PG,23837227,45911517
Mr. Holland's Opus,29/12/1995,Drama,PG,82582604,157508868
White Squall,02/02/1996,Adventure,PG-13,10229300,19509726
Muppet Treasure Island,16/02/1996,Adventure,G,34327391,65470567
Mr. Wrong,16/02/1996,Romantic Comedy,PG-13,12805071,24422334
Before and After,23/02/1996,Drama,PG-13,8642118,16482589
Up Close & Personal,01/03/1996,Drama,PG-13,51045801,97356578
Homeward Bound II: Lost in San Franc…,08/03/1996,Adventure,G,32709423,62384706
Two Much,15/03/1996,Romantic Comedy,PG-13,1078555,2057055
Un indien dans la ville,22/03/1996,Comedy,PG,1029731,1963937
James and the Giant Peach,12/04/1996,Adventure,PG,28921264,55159783
Celtic Pride,19/04/1996,Comedy,PG-13,9240378,17623615
Last Dance,03/05/1996,Drama,R,5857534,11171714
Boys,10/05/1996,Drama,PG-13,21930418,41826566
Spy Hard,24/05/1996,Comedy,PG-13,26936265,51373912
Eddie,31/05/1996,Comedy,PG-13,31369401,59828966
The Rock,07/06/1996,Action,R,134069511,255702705
The Hunchback of Notre Dame,21/06/1996,Adventure,G,100138851,190988799
Phenomenon,05/07/1996,Drama,PG,104636382,199559799
Kazaam,17/07/1996,Comedy,PG,18880508,36009655
Jack,09/08/1996,Drama,PG-13,58617334,111792852
First Kid,30/08/1996,Comedy,PG,26465920,50465108
The Rich Man's Wife,13/09/1996,Thriller/Suspense,R,8538318,16284619
D3: The Mighty Ducks,04/10/1996,Comedy,PG,22936273,43713554
The Associate,25/10/1996,Comedy,PG-13,12772657,24333094
Ransom,08/11/1996,Action,R,136492681,259807820
The War at Home,20/11/1996,Unknown,R,34368,65543
101 Dalmatians,27/11/1996,Comedy,G,136189294,258728898
The Preacher's Wife,13/12/1996,Drama,PG,48102795,91076877
Evita,25/12/1996,Musical,PG,50047179,92077628
Metro,17/01/1997,Action,R,32017895,58804106
Prefontaine,24/01/1997,Drama,PG-13,590817,1085093
Shadow Conspiracy,31/01/1997,Thriller/Suspense,R,2154540,3957025
That Darn Cat,14/02/1997,Comedy,PG,18301828,33613158
Jungle 2 Jungle,07/03/1997,Comedy,PG,59925026,110058379
The Sixth Man,28/03/1997,Comedy,PG-13,14765099,27117599
Grosse Pointe Blank,11/04/1997,Black Comedy,R,28084357,51579764
Romy and Michele's High School Reunion,25/04/1997,Comedy,R,29235353,53693680
Gone Fishin',30/05/1997,Comedy,PG,19745922,36265379
Con Air,06/06/1997,Action,R,101117573,185712664
Hercules,13/06/1997,Adventure,G,99112101,182029412
George Of The Jungle,16/07/1997,Comedy,PG,105263257,193326632
Nothing To Lose,18/07/1997,Comedy,R,44480039,81692095
Air Bud,01/08/1997,Comedy,PG,24646936,45266588
G.I. Jane,22/08/1997,Drama,R,48169156,88467531
A Thousand Acres,19/09/1997,Drama,R,7928412,14561324
Washington Square,05/10/1997,Drama,PG,1775644,3257546
Rocket Man,10/10/1997,Comedy,PG,15448043,28371890
Playing God,17/10/1997,Thriller/Suspense,R,4166918,7652965
Flubber,26/11/1997,Comedy,PG,92993801,170406423
An American Werewolf in Paris,25/12/1997,Horror,R,26570463,48546161
Mr. Magoo,25/12/1997,Comedy,PG,21437192,39145784
Kundun,25/12/1997,Drama,PG-13,5686694,10236836
Deep Rising,30/01/1998,Action,R,11203026,20136775
Krippendorf's Tribe,27/02/1998,Comedy,PG-13,7571115,13608633
An Alan Smithee Film: Burn Hollywood Burn,27/02/1998,Comedy,R,45779,82277
Meet the Deedles,27/03/1998,Comedy,PG,4356126,7829877
He Got Game,01/05/1998,Drama,R,21567853,38766948
The Horse Whisperer,15/05/1998,Drama,PG-13,75383563,135497531
"Six Days, Seven Nights",12/06/1998,Romantic Comedy,PG-13,74339294,133620516
Mulan,19/06/1998,Adventure,G,120620254,216807832
Armageddon,01/07/1998,Adventure,PG-13,201578182,362324957
Jane Austen's Mafia,24/07/1998,Comedy,PG-13,19843795,35668055
The Parent Trap,29/07/1998,Comedy,PG,66308518,119185667
Firelight,04/09/1998,Drama,R,784419,1409943
Simon Birch,11/09/1998,Drama,PG,18253415,32809442
Holy Man,09/10/1998,Comedy,PG,12069719,21694605
Beloved,16/10/1998,Drama,R,22852487,41062682
The Waterboy,06/11/1998,Comedy,PG-13,161491646,288691833
I'll Be Home For Christmas,13/11/1998,Comedy,PG,12214338,21941840
A Bug's Life,20/11/1998,Adventure,G,162798565,288981698
Enemy of the State,20/11/1998,Action,R,111549836,198472008
Rushmore,11/12/1998,Black Comedy,R,17105219,28392518
A Civil Action,25/12/1998,Drama,PG-13,56709981,94139530
Mighty Joe Young,25/12/1998,Adventure,PG,50632037,87906042
My Favorite Martian,12/02/1999,Comedy,PG,36850101,61150849
The Other Sister,26/02/1999,Romantic Comedy,PG-13,27807627,46145331
Doug's 1st Movie,26/03/1999,Adventure,G,19421271,32228598
Ten Things I Hate About You,31/03/1999,Romantic Comedy,PG-13,38177966,63354375
Endurance,14/05/1999,Unknown,PG,229128,380218
Instinct,04/06/1999,Drama,R,34105207,56595842
Tarzan,16/06/1999,Adventure,G,171091819,283900254
Summer of Sam,02/07/1999,Drama,R,19288130,32007656
Inspector Gadget,23/07/1999,Comedy,PG,97387965,161610341
The Sixth Sense,06/08/1999,Thriller/Suspense,PG-13,293506292,485424724
The 13th Warrior,27/08/1999,Action,R,32698899,54262148
Breakfast of Champions,17/09/1999,Comedy,R,178287,295851
Mumford,24/09/1999,Comedy,R,4559569,7566363
"Mystery, Alaska",01/10/1999,Comedy,R,8891623,14755189
The Straight Story,15/10/1999,Drama,G,6197866,10111144
The Insider,05/11/1999,Drama,R,28965197,47794214
Toy Story 2,19/11/1999,Adventure,G,245852179,404450426
Cradle Will Rock,08/12/1999,Drama,R,2899970,4609153
Deuce Bigalow: Male Gigolo,10/12/1999,Comedy,R,65535067,106921374
Bicentennial Man,17/12/1999,Drama,PG,58220776,94838225
Play it to the Bone,24/12/1999,Comedy,R,8427204,13180524
Fantasia 2000 (IMAX),01/01/2000,Musical,G,60507228,94852354
Gun Shy,04/02/2000,Comedy,R,1638202,2562155
The Tigger Movie,11/02/2000,Adventure,G,45542421,71228678
Mission to Mars,10/03/2000,Adventure,PG,60874615,95208344
High Fidelity,31/03/2000,Comedy,R,27277055,42661516
Keeping the Faith,14/04/2000,Romantic Comedy,PG-13,37036404,57925202
Dinosaur,19/05/2000,Adventure,PG,137748063,215438985
Shanghai Noon,26/05/2000,Western,PG-13,56932305,89042541
Gone in 60 Seconds,09/06/2000,Action,PG-13,101643008,158970411
Fantasia 2000 (Theatrical Release),16/06/2000,Musical,G,9103630,14238144
The Kid,07/07/2000,Comedy,PG,69688384,108993148
Coyote Ugly,04/08/2000,Drama,PG-13,60786269,95070168
The Crew,25/08/2000,Comedy,PG-13,13019253,20362201
Duets,15/09/2000,Drama,R,4734235,7404372
Remember the Titans,29/09/2000,Drama,PG,115654751,180742479
Unbreakable,22/11/2000,Thriller/Suspense,PG-13,94999143,148208901
102 Dalmatians,22/11/2000,Comedy,G,66941559,104055039
The Emperor's New Groove,15/12/2000,Adventure,G,89296573,136789252
"O Brother, Where Art Thou?",22/12/2000,Comedy,PG-13,45506619,67922002
Double Take,12/01/2001,Action,PG-13,29823162,44418589
Recess: School's Out,16/02/2001,Comedy,G,36696761,54656124
Just Visiting,06/04/2001,Comedy,PG-13,4777007,7114869
Pearl Harbor,25/05/2001,Action,PG-13,198539855,295705112
Atlantis: The Lost Empire,08/06/2001,Adventure,PG,84052762,125188122
crazy/beautiful,29/06/2001,Drama,PG-13,16929123,25214223
The Princess Diaries,03/08/2001,Comedy,G,108244774,161218928
Bubble Boy,24/08/2001,Comedy,PG-13,5002310,7450434
Max Keeble's Big Move,05/10/2001,Comedy,PG,17292381,25749730
Corky Romano,12/10/2001,Comedy,PG-13,23978402,35705805
High Heels and Low Lifes,26/10/2001,Unknown,R,226792,337782
"Monsters, Inc.",02/11/2001,Adventure,G,289423425,416073179
Out Cold,21/11/2001,Comedy,PG-13,13906394,20700691
The Royal Tenenbaums,14/12/2001,Black Comedy,R,52353636,76758193
Beauty and the Beast (IMAX),01/01/2002,Musical,G,25487028,36980311
Frank McKlusky C.I.,01/01/2002,Unknown,Unknown,0,0
Snow Dogs,18/01/2002,Comedy,PG,81150692,117745317
The Count of Monte Cristo,25/01/2002,Drama,PG-13,54228104,78682079
Peter Pan: Return to Neverland,15/02/2002,Adventure,G,48430258,70269715
Reign of Fire,19/02/2002,Action,PG-13,43061982,62480631
Sorority Boys,22/03/2002,Comedy,R,10198766,14797862
The Rookie,29/03/2002,Drama,G,75600072,109691666
Big Trouble,05/04/2002,Comedy,PG-13,7262288,10537188
ESPN's Ultimate X - The Movie,10/05/2002,Documentary,PG,4197175,6089874
Bad Company,07/06/2002,Action,PG-13,30157016,43756218
Lilo & Stitch,21/06/2002,Adventure,PG,145771527,211506702
The Country Bears,26/07/2002,Adventure,G,16988996,24650121
Signs,02/08/2002,Thriller/Suspense,PG-13,227965690,330754439
Sen to Chihiro no Kamikakushi,20/09/2002,Adventure,PG,10049886,14338992
Sweet Home Alabama,27/09/2002,Comedy,PG-13,127214072,184521151
Moonlight Mile,27/09/2002,Drama,PG-13,6830957,9909094
Tuck Everlasting,11/10/2002,Drama,PG,19161999,27789959
The Santa Clause 2,01/11/2002,Comedy,G,139225854,201959095
Treasure Planet,27/11/2002,Adventure,PG,38120554,55189145
The Hot Chick,13/12/2002,Comedy,PG-13,35081550,50624654
25th Hour,19/12/2002,Drama,R,13084595,18325463
The Recruit,31/01/2003,Thriller/Suspense,PG-13,52784696,73793522
Shanghai Knights,07/02/2003,Adventure,PG-13,60470220,84537962
The Jungle Book 2,14/02/2003,Adventure,G,47901582,66966883
Bringing Down the House,07/03/2003,Comedy,PG-13,132675402,185481530
Piglet's Big Movie,21/03/2003,Comedy,G,23103423,32298812
Ghosts of the Abyss,11/04/2003,Documentary,G,17093668,23803108
Holes,18/04/2003,Drama,PG,67383924,94203395
The Lizzie McGuire Movie,02/05/2003,Comedy,PG,42734455,59743191
Finding Nemo,30/05/2003,Adventure,G,380529370,518148559
Pirates of the Caribbean: The Curse o…,09/07/2003,Adventure,PG-13,305411224,426967926
Freaky Friday,06/08/2003,Comedy,PG,110222438,154090360
Open Range,15/08/2003,Western,R,58331254,81547672
Cold Creek Manor,19/09/2003,Thriller/Suspense,R,21384035,29895090
Under the Tuscan Sun,26/09/2003,Comedy,PG-13,43601508,60944053
Veronica Guerin,17/10/2003,Drama,R,1569918,2194759
Brother Bear,24/10/2003,Adventure,G,85336277,119218333
The Haunted Mansion,26/11/2003,Comedy,PG,75817994,105775678
Calendar Girls,19/12/2003,Comedy,PG-13,31011616,42379650
Young Black Stallion,25/12/2003,Adventure,G,6751389,9254344
Teacher's Pet: The Movie,16/01/2004,Comedy,PG,6491969,8812764
Miracle,06/02/2004,Drama,PG,64378093,87392478
Confessions of a Teenage Drama Queen,20/02/2004,Comedy,PG,29331068,39816568
Hidalgo,05/03/2004,Western,PG-13,67286731,91340921
The Ladykillers,26/03/2004,Comedy,R,39692139,53881593
Home on the Range,02/04/2004,Comedy,PG,50026353,67910166
The Alamo,09/04/2004,Western,PG-13,22406362,30416359
Raising Helen,28/05/2004,Comedy,PG-13,37485528,50886144
Around the World in 80 Days,16/06/2004,Adventure,PG,24004159,32585356
America's Heart and Soul,02/07/2004,Documentary,Not Rated,314000,426246
King Arthur,07/07/2004,Adventure,PG-13,51877963,70423706
The Village,30/07/2004,Thriller/Suspense,PG-13,114197520,155021748
The Princess Diaries 2: Royal Engagement,11/08/2004,Romantic Comedy,G,95149435,129164207
Mr. 3000,17/09/2004,Comedy,PG-13,21800302,29593641
The Last Shot,24/09/2004,Comedy,R,463730,629502
Ladder 49,01/10/2004,Action,PG-13,74541707,101161045
The Incredibles,05/11/2004,Adventure,PG,261441092,354488708
National Treasure,19/11/2004,Adventure,PG,173005002,234069353
The Life Aquatic with Steve Zissou,10/12/2004,Comedy,R,24006726,32198655
Aliens of the Deep,28/01/2005,Documentary,G,8968684,11740942
Pooh's Heffalump Movie,11/02/2005,Adventure,G,18098433,23801835
The Pacifier,04/03/2005,Comedy,PG,113006880,148619029
Ice Princess,18/03/2005,Comedy,G,24381334,32064685
A Lot Like Love,22/04/2005,Comedy,PG-13,21835784,28716947
The Hitchhiker's Guide to the Galaxy,29/04/2005,Comedy,PG,51019112,67096891
Hauru no ugoku shiro,10/06/2005,Adventure,PG,4710455,6194870
Herbie: Fully Loaded,22/06/2005,Comedy,G,66010682,86812798
Dark Water,08/07/2005,Thriller/Suspense,PG-13,25473093,33500491
Sky High,29/07/2005,Adventure,PG,63939454,84088854
Valiant,19/08/2005,Adventure,G,19478106,25616292
Flightplan,23/09/2005,Thriller/Suspense,PG-13,89706988,117960425
The Greatest Game Ever Played,30/09/2005,Drama,PG,15331289,20162672
Shopgirl,21/10/2005,Drama,R,10284523,13519621
Chicken Little,04/11/2005,Adventure,G,135386665,177954661
"The Chronicles of Narnia: The Lion, t…",09/12/2005,Adventure,PG,291710957,381557539
Casanova,25/12/2005,Drama,R,11304403,14574087
Glory Road,13/01/2006,Drama,PG,42647449,54888236
